,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,female,group D,some high school,free/reduced,none,45,65,57
1,male,group D,associate's degree,standard,none,88,70,74
2,female,group C,bachelor's degree,free/reduced,none,73,81,70
3,female,group A,associate's degree,free/reduced,none,47,58,51
4,male,group B,high school,standard,completed,81,58,65
5,male,group D,some college,standard,none,85,79,82
6,female,group B,associate's degree,free/reduced,completed,72,94,79
7,female,group B,bachelor's degree,standard,completed,62,77,78
8,male,group D,high school,standard,none,59,50,49
9,female,group A,some college,standard,none,52,60,54
10,male,group D,some college,standard,none,87,65,81
11,female,group A,bachelor's degree,standard,none,42,51,49
12,female,group A,high school,free/reduced,completed,51,47,56
13,female,group D,associate's degree,standard,completed,73,77,75
14,male,group B,some college,standard,completed,80,80,86
15,male,group C,master's degree,standard,none,87,78,79
16,male,group E,some high school,free/reduced,completed,71,67,63
17,male,group D,high school,standard,none,43,48,52
18,female,group B,master's degree,free/reduced,completed,49,61,67
19,female,group C,some high school,standard,completed,81,91,92
20,male,group D,high school,standard,none,53,49,58
21,female,group C,some college,free/reduced,completed,47,71,71
22,female,group B,associate's degree,free/reduced,none,47,64,51
23,female,group A,high school,free/reduced,completed,80,91,85
24,female,group D,some college,standard,completed,78,74,88
25,female,group B,some high school,standard,completed,67,70,74
26,female,group A,associate's degree,free/reduced,none,64,82,74
27,male,group C,some college,standard,none,80,75,62
28,male,group E,some high school,standard,completed,70,71,60
29,male,group B,some high school,standard,none,73,58,54
30,male,group C,bachelor's degree,standard,completed,94,92,90
31,female,group D,some high school,standard,none,86,87,106
32,male,group B,some high school,standard,completed,85,89,73
33,female,group A,some college,standard,completed,76,91,93
34,female,group C,some high school,standard,completed,75,91,82
35,female,group E,associate's degree,standard,completed,89,97,89
36,female,group D,master's degree,standard,none,58,55,67
37,male,group C,associate's degree,standard,none,91,90,87
38,female,group C,some college,free/reduced,none,69,82,88
39,female,group C,some college,free/reduced,none,59,58,62
40,male,group C,associate's degree,standard,completed,64,48,54
41,male,group B,some college,free/reduced,none,42,49,42
42,female,group D,associate's degree,free/reduced,none,57,75,62
43,male,group B,some high school,standard,none,65,55,50
44,male,group B,high school,standard,completed,67,63,72
45,female,group C,associate's degree,free/reduced,completed,66,73,66
46,female,group B,some high school,standard,completed,54,60,52
47,male,group B,high school,free/reduced,none,35,35,26
48,female,group D,master's degree,standard,completed,74,78,87
49,female,group B,some college,free/reduced,none,59,68,67
50,male,group D,high school,standard,none,76,70,70
51,female,group D,high school,free/reduced,none,74,99,84
52,female,group A,associate's degree,standard,completed,61,69,74
53,male,group D,associate's degree,standard,none,60,50,46
54,female,group C,high school,standard,none,61,70,75
55,female,group C,high school,standard,none,77,81,86
56,female,group D,bachelor's degree,standard,none,79,85,95
57,female,group C,associate's degree,standard,none,79,68,76
58,male,group D,some college,standard,completed,62,55,63
59,female,group C,associate's degree,free/reduced,none,48,77,68
60,female,group C,associate's degree,free/reduced,none,51,59,56
61,female,group C,high school,standard,none,42,60,60
62,female,group C,some college,standard,none,58,77,76
63,female,group C,associate's degree,free/reduced,completed,64,69,72
64,female,group C,some high school,standard,completed,70,84,76
65,male,group D,some college,standard,none,70,61,51
66,male,group D,high school,free/reduced,none,68,66,74
67,female,group D,some college,free/reduced,completed,63,78,83
68,male,group B,some college,free/reduced,completed,55,65,70
69,female,group C,some college,standard,none,58,64,60
70,male,group B,some college,standard,none,74,56,50
71,female,group A,some high school,standard,completed,85,95,92
72,male,group D,some high school,standard,completed,83,62,70
73,male,group B,bachelor's degree,free/reduced,none,61,63,51
74,male,group D,bachelor's degree,free/reduced,none,54,46,52
75,male,group E,associate's degree,standard,completed,81,73,67
76,female,group D,associate's degree,free/reduced,none,30,38,38
77,female,group C,some high school,standard,none,65,73,72
78,female,group D,some high school,standard,none,64,54,61
79,male,group C,some high school,free/reduced,completed,62,65,69
80,male,group A,master's degree,free/reduced,none,73,77,75
81,male,group C,bachelor's degree,free/reduced,none,65,73,53
82,male,group D,associate's degree,standard,none,82,75,67
83,female,group C,high school,standard,none,69,71,78
84,female,group D,bachelor's degree,free/reduced,completed,97,105,94
85,female,group D,bachelor's degree,free/reduced,none,72,73,87
86,female,group C,some high school,free/reduced,completed,42,64,70
87,female,group E,bachelor's degree,standard,none,33,37,40
88,male,group D,some college,standard,none,41,58,56
89,female,group C,some college,free/reduced,none,44,40,48
90,male,group C,some college,standard,none,63,58,47
91,female,group D,some college,free/reduced,none,83,78,92
92,male,group B,some high school,standard,none,73,68,70
93,male,group B,bachelor's degree,free/reduced,none,81,66,53
